2026-05-06 19:10:56 | INFO     | app.core.session_cache         | Session 98421425-e7dd-49d7-af21-8f95ac474a98: retrieval_results.json saved (5 hits).
2026-05-06 19:10:56 | INFO     | app.core.proof                 | Annotated page 29 of 'GPT4_TR' with 2 bbox(es).
2026-05-06 19:10:56 | INFO     | app.core.proof                 | Annotated page 37 of 'GPT4_TR' with 6 bbox(es).
2026-05-06 19:10:56 | INFO     | app.core.proof                 | Annotated page 42 of 'GPT4_TR' with 1 bbox(es).
2026-05-06 19:10:56 | INFO     | app.core.proof                 | Annotated page 32 of 'GPT4_TR' with 1 bbox(es).
2026-05-06 19:10:56 | INFO     | app.core.proof                 | Annotated page 61 of 'GPT4_TR' with 3 bbox(es).
2026-05-06 19:10:56 | INFO     | app.core.session_cache         | Session 98421425-e7dd-49d7-af21-8f95ac474a98: metadata.json saved.
2026-05-06 19:10:56 | INFO     | app.services.llm_service       | Streaming RAG answer for: Give all training data used by GPT. …
2026-05-06 19:11:36 | INFO     | app.core.proof                 | Annotated page 29 of 'GPT4_TR' with 2 bbox(es).
2026-05-06 19:11:37 | INFO     | app.core.proof                 | Annotated page 29 of 'GPT4_TR' with 2 bbox(es).
2026-05-06 19:11:38 | INFO     | app.core.proof                 | Annotated page 37 of 'GPT4_TR' with 6 bbox(es).
2026-05-06 19:12:07 | INFO     | app.ui.handlers                | Query complete. 5 chunks retrieved.
2026-05-06 19:14:25 | INFO     | app.core.proof                 | Annotated page 37 of 'GPT4_TR' with 6 bbox(es).
2026-05-06 19:14:28 | INFO     | app.core.proof                 | Annotated page 42 of 'GPT4_TR' with 1 bbox(es).
2026-05-06 19:14:28 | INFO     | app.core.proof                 | Annotated page 42 of 'GPT4_TR' with 1 bbox(es).
2026-05-06 19:14:45 | INFO     | app.core.proof                 | Annotated page 29 of 'GPT4_TR' with 2 bbox(es).
2026-05-06 19:15:38 | INFO     | app.core.proof                 | Annotated page 29 of 'GPT4_TR' with 2 bbox(es).
2026-05-06 19:21:11 | INFO     | __main__                       | ╔══════════════════════════════════════════════════════╗
2026-05-06 19:21:11 | INFO     | __main__                       | ║          ContextFlow RAG  —  Starting Up             ║
2026-05-06 19:21:11 | INFO     | __main__                       | ╚══════════════════════════════════════════════════════╝
2026-05-06 19:21:11 | INFO     | __main__                       | Config: embed_device=cuda:1  reranker_device=cuda:1  ollama=http://localhost:11434
2026-05-06 19:21:11 | INFO     | __main__                       | ── [1/4] ChromaDB …
2026-05-06 19:21:12 | INFO     | app.services.chromadb_service  | Connecting to ChromaDB at: /storage/sourava/RAG_Pipeline/RAG_Page/storage/chroma_db …
2026-05-06 19:21:12 | INFO     | app.services.chromadb_service  | ChromaDB collection 'rag_chunks' ready — 664 existing docs.
2026-05-06 19:21:12 | INFO     | __main__                       | ChromaDB ready. Collection has 664 documents.
2026-05-06 19:21:12 | INFO     | __main__                       | ── [2/4] Embedding + Reranker models …
2026-05-06 19:21:12 | INFO     | __main__                       | ════════════════════════════════════════════════════════════
2026-05-06 19:21:12 | INFO     | __main__                       |   ContextFlow — Model Initialization
2026-05-06 19:21:12 | INFO     | __main__                       | ════════════════════════════════════════════════════════════
2026-05-06 19:21:12 | INFO     | __main__                       | Initializing embedding model on cuda:1 …
2026-05-06 19:21:16 | INFO     | app.services.embedding_service | Loading embedding model: BAAI/bge-large-en-v1.5 on cuda:1 …
2026-05-06 19:21:17 | INFO     | app.utils.gpu_utils            | Device: cuda:1 — NVIDIA RTX A6000  (47.5 GB total, 47.3 GB free)  CUDA 12.4  cuDNN 90100
2026-05-06 19:21:18 | INFO     | sentence_transformers.base.model | Loading SentenceTransformer model from BAAI/bge-large-en-v1.5.
2026-05-06 19:21:24 | INFO     | app.services.embedding_service | Embedding model: fp16 enabled.
2026-05-06 19:21:24 | INFO     | app.services.embedding_service | Embedding batch size: 512
2026-05-06 19:21:25 | INFO     | app.services.embedding_service | Embedding model warmup complete.
2026-05-06 19:21:25 | INFO     | app.services.embedding_service | Embedding model ready.
2026-05-06 19:21:25 | INFO     | __main__                       | Initializing reranker on cuda:1 …
2026-05-06 19:21:25 | INFO     | app.services.reranker_service  | Loading reranker model: BAAI/bge-reranker-v2-m3 on cuda:1 …
2026-05-06 19:21:25 | INFO     | app.utils.gpu_utils            | Device: cuda:1 — NVIDIA RTX A6000  (47.5 GB total, 45.9 GB free)  CUDA 12.4  cuDNN 90100
2026-05-06 19:21:25 | INFO     | sentence_transformers.base.model | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 19:21:32 | INFO     | app.services.reranker_service  | Reranker model ready.
2026-05-06 19:21:32 | INFO     | __main__                       | All PyTorch models ready.
2026-05-06 19:21:32 | INFO     | __main__                       | ── [3/4] Ollama health check …
2026-05-06 19:21:32 | INFO     | __main__                       | Checking Ollama connectivity …
2026-05-06 19:21:38 | INFO     | app.services.llm_service       | Ollama LLM (gpt-oss:20b) is ready.
2026-05-06 19:21:38 | INFO     | __main__                       | ── [4/4] Session cleanup daemon …
2026-05-06 19:21:38 | INFO     | app.core.session_cache         | Session cleanup thread started (TTL=3600s, interval=300s).
2026-05-06 19:21:38 | INFO     | app.core.session_cache         | Session cleanup daemon thread started.
2026-05-06 19:21:38 | INFO     | __main__                       | Startup complete in 26.7s.
2026-05-06 19:21:38 | INFO     | __main__                       | Launching Gradio on port 7860 …
2026-05-06 19:22:01 | INFO     | app.ui.handlers                | Uploaded: Gemma3_TR.pdf → /storage/sourava/RAG_Pipeline/RAG_Page/storage/uploads/Gemma3_TR.pdf
2026-05-06 19:22:01 | INFO     | app.ui.handlers                | Uploaded: GPT4_TR.pdf → /storage/sourava/RAG_Pipeline/RAG_Page/storage/uploads/GPT4_TR.pdf
2026-05-06 19:22:01 | INFO     | app.utils.file_utils           | Cache hit: 'Gemma3_TR' already processed (fingerprint match). Skipping ingestion.
2026-05-06 19:22:01 | INFO     | app.core.ingestion             | [INGEST] 'Gemma3_TR' already processed — loading from cache.
2026-05-06 19:22:01 | INFO     | app.core.indexing              | [INDEX] Processing 169 chunks for 'Gemma3_TR' …
2026-05-06 19:22:01 | INFO     | app.core.indexing              | [INDEX] 'Gemma3_TR' already fully indexed (169 chunks). Skipping.
2026-05-06 19:22:01 | INFO     | app.core.retrieval             | BM25 cache invalidated.
2026-05-06 19:22:01 | INFO     | app.utils.file_utils           | Cache hit: 'GPT4_TR' already processed (fingerprint match). Skipping ingestion.
2026-05-06 19:22:01 | INFO     | app.core.ingestion             | [INGEST] 'GPT4_TR' already processed — loading from cache.
2026-05-06 19:22:01 | INFO     | app.core.indexing              | [INDEX] Processing 495 chunks for 'GPT4_TR' …
2026-05-06 19:22:01 | INFO     | app.core.indexing              | [INDEX] 'GPT4_TR' already fully indexed (495 chunks). Skipping.
2026-05-06 19:22:01 | INFO     | app.core.retrieval             | BM25 cache invalidated.
2026-05-06 19:22:18 | INFO     | app.core.session_cache         | New session created: 74fa5655-7d83-4127-9ab9-5da9dedd5c90
2026-05-06 19:22:18 | INFO     | app.ui.handlers                | Query: 'Give me all training data used by Gemma 3.' (top_k=5, filter=None)
2026-05-06 19:22:18 | INFO     | app.core.retrieval             | [RETRIEVE] Analysing query complexity …
2026-05-06 19:22:18 | INFO     | app.services.llm_service       | Analysing query complexity (model=gpt-oss:20b) …
2026-05-06 19:22:19 | INFO     | app.services.llm_service       | LLM verdict: complex=False, sub_queries=0
2026-05-06 19:22:19 | INFO     | app.core.retrieval             | [RETRIEVE] Simple query — single hybrid retrieval.
2026-05-06 19:22:19 | INFO     | app.services.embedding_service | Embedding 1 texts (batch_size=1) …
2026-05-06 19:22:19 | INFO     | app.services.embedding_service | Embedding complete: shape=(1, 1024)
2026-05-06 19:22:19 | INFO     | app.core.retrieval             | Building BM25 index …
2026-05-06 19:22:19 | INFO     | app.core.retrieval             | BM25 index built: 664 docs.
2026-05-06 19:22:19 | INFO     | app.core.retrieval             | [RETRIEVE] 23 candidate(s) → reranking …
2026-05-06 19:22:19 | INFO     | app.services.reranker_service  | Reranking 23 candidates against query …
